"Program Name","Address","Phone","Accreditation Status","Email","lon","lat"
" New York
Presbyterian Hospital (Columbia Campus)/New York State Psychiatric Institute Program","New York State Psychiatric Institute 1051 Riverside Drive
Unit 103
New York, NY 10032 ","(646) 774-6327
","Continued Accreditation","Alexandra.Perez@nyspi.columbia.edu",-73.9444143,40.8425117
" New York
Presbyterian Hospital (Cornell Campus) Program","NewYork-Presbyterian Hospital/Weill Cornell Medical Center
525 East 68th Street,     (Box 140) Room - Baker 1202
New York, NY 10065-4897 ","(212) 746-3871
","Continued Accreditation","dak9065@med.cornell.edu",-73.9542869,40.7643076
" Northeast Georgia Medical Center Program","743 Spring Street
Suite 710
Gainesville, GA 30501
","(770) 219-0039
","Initial Accreditation","kalpana.prasad@nghs.com",-83.8172227,34.3035028
" Nova Southeastern University - College of Osteopathic Medicine (Bay Pines) Program","10000 Bay Pines Blvd. Bay Pines, FL 33744 ","(727) 398-6661","Initial Accreditation",NA,-82.7765394,27.8107398
" Nova Southeastern University - College of Osteopathic Medicine (Orlando) Program","Orlando VA Healthcare System Graduate Medical Education (11E) 13800 Veterans Way
Orlando, FL 32827
","(407) 631-4017
","Initial Accreditation","paul.deci@va.gov",-81.2751767,28.3655791
" Nuvance Health Program","670 Stoneleigh Ave
664 Bldg, Suite 301 Carmel Hamlet, NY 10512 ","(347) 607-8972
","Initial Accreditation","meded@health-quest.org",-73.6631741,41.3835724
" NYU Grossman School of Medicine Program","New York University School of Medicine Department of Psychiatry
One Park Avenue, 8th Floor New York, NY 10016-5802 ","(646) 754-5335
","Continued Accreditation","Deepti.Anbarasan@nyulangone.org",-73.9817706,40.7459537
" Oakland Physicians Medical Center Program","461 West Huron Street Pontiac, MI 48341
","(248) 857-6700
","Initial Accreditation","info@pontiacgeneral.com",-83.3092035,42.6344243
" Ocean Medical Center Program","Residency in General Psychiatry Ocean Medical Center
1610 Rt. 88, 3rd Floor
Brick, NJ 08724
","(732) 776-6570
","Continued Accreditation","ramon.solhkhah@hmhn.org",-74.1304241,40.0769991
" Ohio State University Hospital Program","Ohio State University Medical Center OSU Harding Hospital, Suite 117 1670 Upham Drive
Columbus, OH 43210
","(614) 293-8275
","Continued Accreditation","Julie.Niedermier@osumc.edu",-83.0200081,39.9957344
"
OhioHealth/Riverside Methodist Hospital Program","3535 Olentangy River Road Columbus, OH 43214
","(614) 788-4706
","Continued Accreditation","res_psych@ohiohealth.com",-83.0344091,40.0309149
" Oklahoma State University Center for Health Sciences Program","1111 W. 17th St Tulsa, OK 74107-1898
","(918) 561-8432
","Continued Accreditation","stephen.brasseux@okstate.edu",-96.005681,36.138031
" Oklahoma State University Center for Health Sciences/Griffin Memorial Hospital Program","Griffin Memorial Hospital 900 East Main
PO Box 151
Norman, OK 73070-0151
","(405) 573-6602
","Continued Accreditation","CDMorris@odmhsas.org",-97.4276153,35.2287672
" Olive View/UCLA Medical Center Program","14445 Olive View Drive Cottage H1
Sylmar, CA 91342
","(747) 210-3343
","Initial Accreditation","ifitzgerald@dhs.lacounty.gov",-118.4510376,34.3257593
" One Brooklyn Health System/Brookdale University Hospital and Medical Center Program","Brookdale University Hospital and Medical Center
One Brookdale Plaza Brooklyn, NY 11212
","(718) 240-5607","Continued Accreditation",NA,-73.9123577,40.6549713
" One Brooklyn Health System/Interfaith Medical Center Program","Interfaith Medical Center 1545 Atlantic Avenue
Brooklyn, NY 11213
","(718) 613-4392
","Continued Accreditation","Tolupona@interfaithmedical.com",-73.9373439,40.678599
" Oregon Health & Science University Program","Oregon Health & Science University 3181 SW Sam Jackson Park Road UHN 80
Portland, OR 97239
","(503) 418-1608
","Continued Accreditation","kinziem@ohsu.edu",-122.657355,45.528335
" Penn Highlands DuBois Program","635 Maple Ave
DuBois, PA 15801
","(814) 375-6349
","Initial Accreditation","psychiatryresidents@phhealthcare.org",-78.7494805,41.1166638
" Penn State Milton S Hershey Medical Center Program","Penn State Milton S. Hershey Medical Center Department of Psychiatry, MC H073, PO Box 850
500 University Drive
Hershey, PA 17033
","(717) 531-8132
","Continued Accreditation","khollis1@pennstatehealth.psu.edu",-76.6765979,40.2639901
" Pine Rest Christian Mental Health Services Program","300 68th Street SE PO Box165
Grand Rapids, MI 49501-0165 ","(616) 258-7464
","Continued Accreditation","melissa.stein@pinerest.org",-85.657331,42.8379875
" Ponce Health Sciences University Program","Ponce Health Sciences University-Psychiatry Residency
VA CHCS Department of Psychiatry (116A)- #10 Casia Street
San Juan, PR 00921 ","(787) 641-7582
","Continued Accreditation","antorres@psm.edu",NA,NA
" Prime Health Care Consortium at St. Mary's and St. Clare Denville Hospital Program","50 Morris Avenue
Denville, NJ 07834
","(973) 316-1802
","Initial Accreditation","sarabjitsingh@primehealthcare.com",-74.4755967,40.9004144
" Prisma
Health/University of South Carolina SOM Columbia (Columbia) Program","Prisma Health-Midlands 15 Medical Park, Suite 141
3555 Harden Street
Columbia, SC 29203
","(803) 434-1433
","Continued Accreditation","ashley.jones@prismahealth.org",-81.0367019,34.0251157
" Prisma
Health/University of South Carolina SOM Greenville (Greenville) Program","Prisma Health/University of South Carolina 701 Grove Rd
Greenville, SC 29605
","(864) 380-6676
","Continued Accreditation","gvlpsyrescal@prismahealth.org",-82.4124647,34.8186107
" Prisma
Health/University of South Carolina SOM Greenville (Greer) Program","109 Physicians Drive, Suite B Greer, SC 29650
","(630) 854-2294
","Initial Accreditation","Anu.Nagar@prismahealth.org",-82.244911,34.918036
" Providence Sacred Heart Medical Center Program","101 West Eighth Avenue Spokane, WA 99204
","(509) 474-4744
","Continued Accreditation","Tanya.Keeble@providence.org",-117.4132245,47.6488754
" Richmond University Medical Center Program","Richmond University Medical Center 355 Bard Avenue
Staten Island, NY 10310 ","(718) 818-4106
","Continued Accreditation","jidowu@rumcsi.org",-74.1059933,40.6357678
" Riverside Medical Center Program","350 N. Wall Street Kankakee, IL 60901
","(815) 937-1237
","Initial Accreditation","GME-Psychiatry@rhc.net",-87.8830805,41.1240078
" Riverside University Health System Program","Riverside County Mental Health Administration Building
4095 County Circle Drive, Suite 55
Riverside, CA 92503
","(951) 358-6185
","Initial Accreditation","sursu@ruhealth.org",-117.4601103,33.9178721
" Rochester General Hospital Program","Rochester General Hospital 1425 Portland Avenue
Rochester, NY 14621
","(585) 922-2560
","Initial Accreditation","psychresidency@rochesterregional.org",-77.5878398,43.1924948
"
RowanSOM/Jefferson Health/Virtua Our Lady of Lourdes Hospital Program","100 Century Parkway
Suite 350
Mount Laurel, NJ 08054 ","(856) 482-9000
","Continued Accreditation","glennh@rowan.edu",-74.9617744,39.9271629
" Rush University Medical Center Program","Rush University Medical Center 2150 W. Harrison Street Chicago, IL 60612
","(312) 942-9803
","Continued Accreditation","Psychiatry_Residency@rush.edu",-87.6800716,41.8746624
" Rutgers Health/New Jersey Medical School Program","Rutgers New Jersey Medical School
183 South Orange Avenue--- BHSB, Room E-1452
Newark, NJ 07101-1709
","(973) 972-8339
","Continued Accreditation","aggarwra@njms.rutgers.edu",-74.189656,40.7400804
" Rutgers Health/Robert Wood Johnson Medical School Program","RUTGERS Robert Wood Johnson Medical School
Department of Psychiatry
671 Hoes Lane West, UBHC D-325 Piscataway, NJ 08854
","(732) 235-4433
","Continued Accreditation","dg723@rwjms.rutgers.edu",-74.4705801,40.5256326
" Rutgers Health/Trinitas Regional Medical Center Program","Trinitas Regional Medical Center-Newpoint Campus
655 East Jersey Street Elizabeth, NJ 07206
","(908) 994-7294
","Continued Accreditation","ehalkias@trinitas.org",-74.1975136,40.6590581
" Saint Elizabeths Hospital-DC Department of Behavioral Health Program","DC Department of Behavioral Health Saint Elizabeths Hospital
Psychiatry Residency Training Program, Room 238.02
1100 Alabama Avenue, SE., Washington, DC 20032
","(202) 299-5360
","Continued Accreditation","seh.psychres@dc.gov",-76.98873,38.8479136
" Samaritan Health Services - Corvallis Program","3509 NW Samaritan Drive Corvallis, OR 97330
","(541) 768-6398","Continued Accreditation",NA,-123.248762,44.6032376
" San Mateo County Behavioral Health and Recovery Services Program","San Mateo County Behavioral Health and Recovery Services
Psychiatry Residency Program 222 West 39th Avenue
San Mateo, CA 94403 ","(650) 573-2530
","Continued Accreditation","essilva@smcgov.org",-122.3005393,37.5313568
" Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program","Thomas Jefferson University Hospital 833 Chestnut Street
Suite 210
Philadelphia, PA 19107
","(215) 955-7910
","Continued Accreditation","adrienne.gerken@jefferson.edu",-75.1552813,39.9502235
" Southern Illinois University Program","Southern Illinois University School of Medicine
PO Box 19642
319 E. Madison St. 3rd Floor Springfield, IL 62794-9642
","(217) 545-7163","Continued Accreditation",NA,-89.6575947,39.8100982
" St Barnabas Hospital Program","4422 Third Avenue Department of Psychiatry 6th floor
Bronx, NY 10457-2594
","(718) 960-6159
","Continued Accreditation","ltroneci@sbhny.org",-73.8913844,40.8531264
" St Elizabeth's Medical Center Program","St Elizabeth's Medical Center 736 Cambridge Street
QN3P
Boston, MA 02135
","(617) 665-1185
","Probationary Accreditation","psychiatry.residency@steward.org",-71.1480227,42.3489047
" St Joseph's Medical Center Program","1800 N. California Street Stockton, CA 95204
","(209) 547-7142","Initial Accreditation",NA,-121.2886669,37.9698831
" St Louis University School of Medicine Program","St Louis University School of Medicine 1438 South Grand Boulevard
St Louis, MO 63104 ","(314) 977-4828
","Continued Accreditation","constance.zeltmann@health.slu.edu",-90.2379184,38.6213861
" St Luke’s Hospital –
Anderson Campus Program","1872 St. Luke's Boulevard Easton, PA 18045
","(484) 503-3070
","Continued Accreditation","christine.marchionni@sluhn.org",-75.2881049,40.64906
" St Luke's University Hospital Program","360 W. Ruddle St Coaldale, PA 18218
","(484) 503-3070
","Initial Accreditation","christine.marchionni@sluhn.org",-75.9140238,40.8210221
" St Mary Mercy Hospital Program","St Mary Mercy Hospital 36475 Five Mile Road Livonia, MI 48154
","(734) 655-2758","Continued Accreditation",NA,-83.4043441,42.3943459
" St. John's
Episcopal Hospital-South Shore Program","Episcopal Health Services, Inc. 327 Beach 19th Street
Far Rockaway, NY 11691 ","(718) 869-7248
","Continued Accreditation","jbrown@ehs.org",-73.7534874,40.5984816
" Stanford Health Care-Sponsored Stanford University Program","401 Quarry Road, Suite 2204 Psychiatry and Behavioral Sciences Stanford School of Medicine Stanford, CA 94305
","(650) 725-5591
","Continued Accreditation","mario.mercurio@stanford.edu",-122.1710469,37.4387529
" Stony Brook Medicine Program","Stony Brook Eastern Long Island Hospital 201 Manor Place
Graduate Medical Education Greenport, NY 11944
","(631) 477-5273
 du","Initial Accreditation","eduardo.constantino@stonybrookmedicine.e",-72.3609485,41.110339
" Stony Brook Medicine/University Hospital Program","SUNY at Stony Brook Health Sciences Center
T-10, Room 020G
Stony Brook, NY 11794-8101 ","(631) 632-8840
","Continued Accreditation","lauren.spring@stonybrookmedicine.edu",-73.1167603,40.909791
" Summa Health System/NEOMED Program","Summa Health System/NEOMED Program 525 E Market Street
Psychiatry Residency Akron, OH 44309
","(330) 379-9548
","Continued Accreditation","jonesw@summahealth.org",-81.500489,41.0801891
" SUNY Downstate Health Sciences University Program","SUNY Downstate Medical Center 450 Clarkson Avenue, Box 1203
Brooklyn, NY 11203
","(718) 270-4627
","Continued Accreditation","scot.mcafee@downstate.edu",-73.9455865,40.6555364
" SUNY Upstate
Medical University Program","S U N Y Upstate Medical University 750 East Adams Street
Syracuse, NY 13210
","(315) 464-1705
","Continued Accreditation","calhouni@upstate.edu",-76.1395979,43.0422979
" Temple University Hospital Program","Temple University Hospital
Suite 305B, Medical Arts Building 100 East Lehigh Avenue Philadelphia, PA 19125
","(215) 707-8483
","Continued Accreditation","ruby.barghini@tuhs.temple.edu",-75.1288368,39.9902188
" Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program","Baylor Scott & White Medical Center Department of Psychiatry - MS-22-117D 2401 South 31st Street
Temple, TX 76508
","(254) 724-1768
","Continued Accreditation","dorothy.winkler@bswhealth.org",-96.7911638,33.013643
" Texas A&M Health Science Center College of Medicine Program","2900 E 29th Street Suite #300
Bryan, TX 77802
","(979) 436-9160
","Initial Accreditation","rharper@tamu.edu",NA,NA
" Texas Institute for Graduate Medical Education and Research (TIGMER) Program","4301 Broadway
CPO 121
San Antonio, TX 78209 ","(210) 802-7497
","Initial Accreditation","drjasonmiller@southtownpsychiatry.com",-98.469515,29.467138
" Texas Tech University Health Sciences Center (Permian Basin) Program","2301 W. Michigan
MIDLAND, TX 79701
","(432) 620-1046
","Continued Accreditation","bobby.jain@ttuhsc.edu",-102.1020255,31.9972774
" Texas Tech University Health Sciences Center at Lubbock Program","Texas Tech University Health Sciences Center
3601 4th Street
Psychiatry, MS 8103
Lubbock, TX 79430
","(806) 743-6162
","Continued Accreditation","sherry.drake@ttuhsc.edu",-101.8910253,33.5901444
" Texas Tech University HSC El Paso Program","Texas Tech HSC Paul L Foster School of Medicine
Department of Psychiatry 4800 Alberta Avenue
El Paso, TX 79905 ","(915) 215-5850
","Continued Accreditation","Sarah.L.Martin@ttuhsc.edu",-106.4344972,31.7732081
" Texas Tech University HSC El Paso/Hospitals of Providence Transmountain Campus Program","2000 B Transmountain Rd El Paso, TX 79911
","(401) 489-8880","Initial Accreditation",NA,-106.5638394,31.9048953
" The MetroHealth System/Case Western Reserve University Program","MetroHealth Medical Center 2500 MetroHealth Drive
Cleveland, OH 44109
","(216) 778-5945
","Continued Accreditation","psychresident@metrohealth.org",-81.698272,41.4620817
" Tower
Health/Brandywine Hospital Program","201 Reeceville Rd. The Spackman Center Coatesville, PA 19320
","(610) 806-2137
","Initial Accreditation","Leinaala.Zettlemoyer@towerhealth.org",-75.7860203,40.0102064
" Tower
Health/Reading Hospital Program","420 S. Fifth Avenue K-Building
West Reading, PA 19611 ","(484) 628-4990","Initial Accreditation",NA,-75.9510757,40.3309227
" Tripler Army Medical Center Program","Tripler Army Medical Center
Attn: MCHK-BHP-R (Psychiatry GME-LTC Magera)
1 Jarrett White Road
Tripler AMC, HI 96859-5000 ","(808) 433-5780
","Continued Accreditation","john.r.magera.mil@mail.mil",-157.8904122,21.359566
" Tufts Medical Center Program","Tufts Medical Center 800 Washington Street
# 1007
Boston, MA 02111
","(617) 636-1636
","Continued Accreditation","dmorehead@tuftsmedicalcenter.org",NA,NA
" Tulane University Program","Tulane Dept. of Psychiatry 1440 Canal Street
TB-53
New Orleans, LA 70112 ","(504) 988-4772
","Continued Accreditation","gpletsch@tulane.edu",-90.0777667,29.9578301
" UCLA David Geffen School of Medicine/UCLA Medical Center Program","Semel Institute for Neuroscience & Human Behavior
760 Westwood Plaza
37-384
Los Angeles, CA 90024 ","(310) 206-1596
","Continued Accreditation","dmadridgonzalez@mednet.ucla.edu",-118.4449102,34.0658188
" UCLA David Geffen School of Medicine/UCLA Medical Center/VA Greater Los Angeles Healthcare System Program","VA Greater Los Angeles Healthcare System 11301 Wilshire Boulevard
Los Angeles, CA 90073 ","(310) 478-3711
","Continued Accreditation","margaret.stuber@va.gov",-118.452734,34.05263
" UCLA-Kern Medical Center Program","Kern Medical
1700 Mt Vernon Avenue Bakersfield, CA 93306
","(661) 326-2249","Continued Accreditation",NA,-118.9703357,35.3830611
" UMass Chan -
Baystate Program","Baystate Medical Center, Inc. Department of Psychiatry 759 Chestnut Street
Springfield, MA 01199
","(413) 794-2535
","Continued Accreditation","steven.fischel@baystatehealth.org",-72.6037013,42.1216158
" UMass Chan
Medical School Program","University of Massachusetts Medical School 55 Lake Avenue, North
Worcester, MA 01655
","(508) 856-5651
","Continued Accreditation","auralyd.padillacandelario@umassmed.edu",-71.7626963,42.2782592
" Unity Health-White County Medical Center Program","3214 East Race Ave. Searcy, AR 72143
","(501) 203-0055
","Continued Accreditation","robert.strayhan@unity-health.org",-91.6923382,35.2506825
" UnityPoint Broadlawns Psychiatry Education Foundation Program","1801 Hickman Road Des Moines, IA 50314 ","(515) 282-8549
","Continued Accreditation","rlundquist@broadlawns.org",-93.6421497,41.616506
" University at Buffalo Program","Erie County Medical Center 462 Grider Street
Buffalo, NY 14215
","(716) 898-4221
","Continued Accreditation","psyresub@buffalo.edu",-78.8318627,42.9263005
" University of Alabama Medical Center Program","University of Alabama Medical Center Department of Psychiatry Education Office CPM 272
1713 6th Ave S, CPM 272
Birmingham, AL 35294-0019
","(205) 934-8619
","Continued Accreditation","tpreston@uabmc.edu",-87.5391418,33.2140233
" University of Arizona College of Medicine- Phoenix Program","Banner Behavioral Health Center 1300 N. 12th Street
Suite 320
Phoenix, AZ 85006
","(602) 521-3617
","Continued Accreditation","carmen.ochoa@bannerhealth.com",-112.0572315,33.4628408
" University of Arizona College of Medicine- Tucson Program","University of Arizona Affiliated Hospitals 1501 North Campbell Avenue
PO Box 245002
Tucson, AZ 85724
","(520) 874-4199
","Continued Accreditation","jsummerfield@psychiatry.arizona.edu",-110.9501094,32.2318851
" University of Arkansas for Medical Sciences (UAMS) College of Medicine Program","University of Arkansas for Medical Sciences UAMS 4301 West Markham
Mail Slot 589
Little Rock, AR 72205 ","(501) 526-8150","Continued Accreditation",NA,-92.3204908,34.7484267
" University of California (Irvine) Program","University of California Irvine Medical Center 101 The City Drive South
Bldg 3, Route 88
Orange, CA 92868
","(714) 456-5770
","Continued Accreditation","johnluo@hs.uci.edu",-117.8887541,33.7874478
" University of California (San Diego) Medical Center Program","UCSD School of Medicine Dept of Psychiatry
9500 Gilman Drive,0851 La Jolla, CA 92093-0851 ","(619) 543-6445
","Continued Accreditation","restrain@ucsd.edu",-117.2358106,32.8752008
" University of California (San Francisco) Program","University of California (San Francisco) Langley Porter Psychiatric Inst
401 Parnassus Avenue - RTP San Francisco, CA 94143
","(415) 476-7721
","Continued Accreditation","erick.hung@ucsf.edu",-122.4568711,37.76356
" University of California (San Francisco)/Fresno Program","UCSF Fresno Psychiatry Residency Program 155 N Fresno Street, Suite 338
Fresno, CA 93701
","(559) 499-6580
","Continued Accreditation","Craig.Campbell@ucsf.edu",-119.782252,36.7436852
" University of California Davis Health Program","University of California (Davis) Medical Center
2230 Stockton Boulevard
Sacramento, CA 95817
","(916) 734-3811
","Continued Accreditation","clbertini@ucdavis.edu",-121.4562323,38.5552196
" University of California Riverside School of Medicine Program","14350 Meridian Parkway
Riverside, CA 92518
","(951) 827-4618
","Continued Accreditation","Takesha.cooper@medsch.ucr.edu",-117.2875428,33.9107725
" University of Central Florida/HCA Healthcare GME (Gainesville) Program","6500 Newberry Road
P.O. Box 147006 Gainesville, FL 32614 ","(352) 333-5982
","Continued Accreditation","almari.ginory@hcahealthcare.com",-82.4115724,29.6602898
" University of Central Florida/HCA Healthcare GME (Greater Orlando) Program","6850 Lake Nona Blvd Orlando, FL 32827
","(407) 266-1165
","Continued Accreditation","krystal.hernandez@hcahealthcare.com",-81.280322,28.3672713
" University of Chicago Program","University of Chicago Medical Center 5841 S Maryland Avenue, MC 3077
Chicago, IL 60637
","(773) 702-0529
","Continued Accreditation","btyrpin@bsd.uchicago.edu",-87.6039963,41.7892944
" University of Cincinnati Medical Center/College of Medicine Program","University of Cincinnati College of Medicine Categorical Psychiatry Training Program
P O Box 670559
Cincinnati, OH 45267-0559
","(513) 558-4004
","Continued Accreditation","brian.evans@uc.edu",-84.5037427,39.1385503
" University of Colorado Program","University of Colorado Psychiatry Residency 13001 E. 17th Place, F-546
Fitzsimons Building 500, Room E2322 Aurora, CO 80045
","(303) 724-2229
 er.edu","Continued Accreditation","psychiatryresidencyandfellowships@ucdenv",-104.8376069,39.7456083
" University of Connecticut Program","University of Connecticut School of Medicine c/o Suzanne Treviso
263 Farmington Avenue, MC1410 Farmington, CT 06030-1410
","(860) 679-2675
","Continued Accreditation","rao@uchc.edu",-72.7912369,41.7298363
" University of Florida College of Medicine Jacksonville Program","University of Florida College of Medicine Jacksonville
580 W. 8th St.
Tower 2, Suite 6005
Jacksonville, FL 32209
","(904) 244-3990
","Continued Accreditation","shelly.ravn@jax.ufl.edu",-81.6631774,30.3460975
" University of Florida Program","University of Florida College of Medicine PO Box 100256
Gainesville, FL 32610
","(352) 294-4945","Continued Accreditation",NA,-82.3434662,29.6398333
" University of Hawaii Program","University of Hawaii John A Burns School of Medicine
1356 Lusitana Street, 4th Floor Honolulu, HI 96813
","(808) 586-7428
","Continued Accreditation","ctonai@hawaiiresidency.org",-157.8634044,21.296545
" University of Illinois College of Medicine at Chicago Program","University of Illinois Medical Center at Chicago
Department of Psychiatry (M/C 913) 912 South Wood Street
Chicago, IL 60612
","(312) 413-1718
","Continued Accreditation","vqui2@uic.edu",-87.6716804,41.8700401
" University of Illinois College of Medicine at Peoria Program","University of Illinois College of Medicine at Peoria
Department of Psychiatry and Behavioral Medicine
221 NE Glen Oak Avenue, 7 West Peoria, IL 61636
","(309) 495-1640
","Continued Accreditation","ryanf@uic.edu",-89.5950536,40.7006673
" University of Iowa Hospitals and Clinics Program","University of Iowa Hospitals and Clinics 200 Hawkins Drive 2880 JPP
Iowa City, IA 52242 ","(319) 356-1354
","Continued Accreditation","erin-crocker@uiowa.edu",-91.547979,41.658974
" University of Kansas (Wichita) Program","University of Kansas School of Medicine- Wichita
1010 North Kansas
Wichita, KS 67214
","(316) 293-2669
","Continued Accreditation","mparmley@kumc.edu",-97.3159489,37.7019635
" University of Kansas School of Medicine Program","University of Kansas Medical Center 3901 Rainbow Boulevard
MS 4015
Kansas City, KS 66160 ","(913) 588-6412
","Continued Accreditation","amayorga@kumc.edu",-94.6111754,39.056934
" University of Kentucky College of Medicine Program","University of Kentucky, Department of Psychiatry
245 Fountain Court
Lexington, KY 40509
","(859) 323-6861
","Continued Accreditation","sdba229@uky.edu",-84.4384279,38.0046733
" University of Louisville School of Medicine Program","University of Louisville Department of Psychiatry Residency Program
401 E. Chestnut Street Suite 600
Louisville, KY 40202
","(502) 588-4865
","Continued Accreditation","psychres@louisville.edu",-85.7467195,38.2480482
" University of Maryland/Sheppard Pratt Program","University of Maryland Medical System Department of Psychiatry
701 W Pratt St, Rm 474
Baltimore, MD 21201
","(410) 328-6325
","Continued Accreditation","mehrenre@som.umaryland.edu",-76.6187811,39.286703
" University of Miami/Jackson Health System Program","University of Miami School of Medicine 1695 NW 9th AV  #3100
Miami, FL 33136
","(305) 355-8264
","Continued Accreditation","rsaveanu@med.miami.edu",NA,NA
" University of Michigan Health System Program","University of Michigan Medical Center 1500 E Medical Center Drive
MCHC, F6135 SPC 5295 Ann Arbor, MI 48109-5295 ","(734) 764-0227
","Continued Accreditation","hwiggin@med.umich.edu",-83.7332766,42.2839143
" University of Minnesota Program","University of Minnesota Medical Center - Fairview
F282/2A West
2450 Riverside Avenue
Minneapolis, MN 55454
","(612) 273-9118
","Continued Accreditation","wich0033@umn.edu",-93.2376943,44.9674469
" University of Mississippi Medical Center Program","University of Mississippi Medical Center 2500 North State Street
ATTN: Tara Brock Jackson, MS 39216
","(312) 714-6921
","Continued Accreditation","tbrock@umc.edu",-90.171256,32.3308034
" University of Missouri-Columbia Program","University of Missouri-Columbia Medical Center
One Hospital Drive, DC067.00 Columbia, MO 65212
","(573) 882-8006","Continued Accreditation",NA,-92.3274421,38.9385546
" University of Missouri-Kansas City School of Medicine Program","University of Missouri-Kansas City SOM Center for Behavioral Medicine
1000 E. 24th St.
Kansas City, MO 64108 ","(816) 512-7439
","Continued Accreditation","sherry.bushmoyer@dmh.mo.gov",-94.5726702,39.0840974
" University of Nebraska Medical Center College of Medicine Program","985575 Nebraska Medical Center Omaha, NE 68198-5575
","(402) 552-6007
","Initial Accreditation","daniel.gih@unmc.edu",-95.9796225,41.2552541
" University of Nevada Reno School of Medicine Program","University of Nevada School of Medicine Department of Psychiatry and Behavioral Sciences
5190 Neil Road, Suite 215
Reno, NV 89502
","(775) 682-8464
","Continued Accreditation","adingle@med.unr.edu",-119.7790355,39.4761588
" University of New Mexico School of Medicine Program","UNM School of Medicine, Dept. of Psychiatry MSC09 5030
1 University of New Mexico Albuquerque, NM 87131
","(505) 272-6130
","Continued Accreditation","elaromero@salud.unm.edu",-106.6189072,35.0903994
" University of North Carolina Hospitals Program","University of North Carolina School of Medicine
Department of Psychiatry
CB 7160, NS30319 Neurosciences Hospital Chapel Hill, NC 27599-7160
","(984) 974-2194","Continued Accreditation",NA,-79.0491703,35.9036616
" University of North Dakota Program","University of North Dakota Medical Education Center
1919 Elm Street North Fargo, ND 58102-2416
","(701) 293-4113
","Continued Accreditation","robert.joseph.olson@und.edu",-97.0768014,47.922891
" University of Oklahoma Health Sciences Center Program","University of Oklahoma Health Sciences Center
Dept of Psychiatry & Behavioral Sciences PO Box 26901, WP 3440
Oklahoma City, OK 73190-0901 ","(405) 271-4488
","Continued Accreditation","christopher-czapla@ouhsc.edu",-97.4975795,35.4801554
" University of Oklahoma School of Community Medicine (Tulsa) Program","University of Oklahoma College of Medicine- Tulsa
Suite 1J06
4502 E 41st Street Tulsa, OK 74135
","(918) 660-3518","Continued Accreditation",NA,-95.9259796,36.1024131
" University of Pennsylvania Health System Program","University of Pennsylvania Health System 3535 Market Street
Suite 200
Philadelphia, PA 19104
","(215) 746-7212
","Continued Accreditation","ecabrina@pennmedicine.upenn.edu",-75.1939576,39.9564102
" University of Puerto Rico Program","University of Puerto Rico School of Medicine PO Box 365067
San Juan, PR 00936-5067 ","(787) 647-5878","Continued Accreditation",NA,-66.1057355,18.4655394
" University of Rochester Program","University of Rochester Medical Center 300 Crittenden Boulevard
Box PSYCH
Rochester, NY 14642-8409
","(585) 275-3347
","Continued Accreditation","Jamie_Pelkey@urmc.rochester.edu",-77.6269403,43.1230503
" University of South Dakota Program","University of South Dakota Sanford School of Medicine, Dept of Psychiatry
4400 West 69th Street Suite 1500
Sioux Falls, SD 57108 ","(605) 322-5737
","Continued Accreditation","shawn.vangerpen@avera.org",-96.7786155,43.4910801
" University of South Florida Morsani Program","University of South Florida Psychiatry Center 3515 East Fletcher Avenue
Tampa, FL 33613
","(813) 974-2805
","Continued Accreditation","kisaac@usf.edu",-82.4185396,28.0684149
" University of Southern California/LAC+USC Medical Center Program","USC/LAC+USC Psychiatry Residency Program
LAC+USC Medical Center 2010 Zonal Avenue #1P10 Los Angeles, CA 90033 ","(323) 409-5555
","Continued Accreditation","psychres@usc.edu",NA,NA
" University of Tennessee Program","University of Tennessee Health Science Center
920 Madison, 2nd Floor Memphis, TN 38163
","(901) 448-2302
","Continued Accreditation","lbarns@uthsc.edu",-90.0306161,35.1408087
" University of Texas at Austin Dell Medical School Program","University of Texas at Austin Dell Medical School Psychiatry Program
Seton Shoal Creek Hospital 3501 Mills Avenue
Austin, TX 78731
","(512) 324-2080","Continued Accreditation",NA,-97.7483484,30.3060657
" University of Texas Health Science Center at Houston Program","McGovern Medical School at UTHealth 1941 East Rd., Room 3236
Houston, TX 77054
","(713) 486-2570
","Continued Accreditation","bbs.restrain@uth.tmc.edu",-95.3941403,29.694422
" University of Texas Health Science Center at Tyler Program","11937 US Hwy 271
Tyler, TX 75708-3154
","(903) 877-8228
","Continued Accreditation","cindy.harrison@uthct.edu",-95.2142711,32.4261072
" University of Texas Health Science Center at Tyler/UT Health Pittsburg Program","c/o Yvonne Valentine 11937 US Highway 271 B304-M
Tyler, TX 75708
","(903) 877-8074
","Initial Accreditation","yvonne.valentine@uthct.edu",-95.2142711,32.4261072
" University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program","UT Health San Antonio 7703 Floyd Curl Drive MC 7792
San Antonio, TX 78229 ","(210) 567-5440
","Continued Accreditation","HerreraR3@uthscsa.edu",-98.5760695,29.5039936
" University of Texas Medical Branch Hospitals Program","University of Texas Medical Branch Hospitals Psychiatry Residency Program
301 University Blvd
Galveston, TX 77555-0193
","(409) 747-9786
","Continued Accreditation","cwigg@utmb.edu",-94.7773653,29.3113724
